section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
AI & ML,Deep Learning,Medium,Object detection vs classification:,Detection localizes + classifies multiple objects,Classifies one object,Generates images,Segments pixels,A
AI & ML,Deep Learning,Medium,Semantic segmentation:,Labels every pixel with a class,Object bounding boxes,Image classification,Feature extraction,A
AI & ML,Deep Learning,Hard,Instance segmentation:,Detects and segments each instance separately,Semantic segmentation,Object detection,Image generation,A
AI & ML,Deep Learning,Hard,Siamese network:,Twin networks comparing inputs for similarity,Generative model,Object detector,Image classifier,A
AI & ML,Deep Learning,Hard,Attention mechanism advantage:,Models dependencies regardless of distance,Faster training,Smaller model,Better for images,A
AI & ML,Deep Learning,Medium,ResNet-50 has approximately:,50 layers,50 million parameters,50 convolutional layers,50 attention heads,A
AI & ML,Deep Learning,Hard,What is depthwise separable convolution?,Splits into depthwise + pointwise steps for efficiency,Standard convolution,Dilated convolution,Transposed convolution,A
AI & ML,Deep Learning,Hard,Dilated (atrous) convolution:,Gaps in kernel to increase receptive field,Depthwise conv,Transposed conv,Separable conv,A
AI & ML,Deep Learning,Hard,Transposed convolution:,"Upsamples feature maps (used in decoders, GANs)",Reduces feature maps,Applies filters,Normalizes activations,A
AI & ML,Deep Learning,Hard,U-Net architecture:,Encoder-decoder with skip connections for segmentation,Image classification,Object detection,Text generation,A
AI & ML,Deep Learning,Medium,Word2Vec:,Learns word embeddings from co-occurrence contexts,Character-level model,Sentence-level model,Image embedding,A
AI & ML,Deep Learning,Hard,CBOW vs Skip-gram:,CBOW predicts word from context; Skip-gram predicts context from word,CBOW always better,Skip-gram always slower,No difference,A
AI & ML,Deep Learning,Hard,GloVe:,Word embeddings from global word co-occurrence statistics,Character embeddings,Document embeddings,Sentence embeddings,A
AI & ML,Deep Learning,Hard,FastText vs Word2Vec:,FastText uses subword (character n-gram) information,FastText: larger context,FastText: slower,FastText: ignores order,A
AI & ML,Deep Learning,Hard,BLEU score:,Measures machine translation quality vs reference,Training loss,Perplexity,Model complexity,A
AI & ML,Deep Learning,Hard,What is a language model's perplexity?,Measures how well model predicts sequences (lower = better),Training accuracy,Loss value,Model complexity,A
AI & ML,Deep Learning,Hard,Reinforcement learning from human feedback (RLHF):,Fine-tuning LLMs using human preference judgments,Supervised fine-tuning,Unsupervised training,Multi-task learning,A
AI & ML,Deep Learning,Easy,What is dropout rate of 0.5?,50% of neurons randomly deactivated during training,50% training data used,50% gradients applied,50% learning rate,A
AI & ML,Deep Learning,Hard,Batch size effect: smaller batch → ?,Noisier gradient updates; can escape local minima,Always worse performance,Slower training,Less memory needed always,A
AI & ML,Deep Learning,Medium,Learning rate too high → ?,Model diverges; loss increases or oscillates,Model converges faster,Model underfits,No effect,A
AI & ML,Deep Learning,Medium,Learning rate too low → ?,Very slow convergence; may get stuck in local minima,Model diverges,Overfitting,Underfitting only,A
AI & ML,Deep Learning,Hard,Adam optimizer combines:,Momentum + RMSprop (adaptive learning rates + momentum),SGD + Batch norm,L1 + L2 regularization,Dropout + Early stopping,A
AI & ML,Deep Learning,Hard,What is momentum in optimization?,Accumulates past gradients to accelerate relevant directions,Always increases learning rate,Decreases batch size,Clips gradients,A
AI & ML,Deep Learning,Hard,RMSprop adapts:,Learning rate based on moving average of squared gradients,Momentum based on gradients,Batch size,Network depth,A
AI & ML,Deep Learning,Hard,What is weight decay?,L2 regularization added to optimizer,Decreasing weights randomly,Reducing learning rate,Removing neurons,A
AI & ML,Deep Learning,Hard,What is label smoothing?,Replaces hard 0/1 targets with soft values to reduce overconfidence,Augments labels,Encodes labels,Selects labels,A
AI & ML,Deep Learning,Hard,What is CutMix augmentation?,Mixes patches from two images with corresponding label blending,Standard cropping,Random erasing,Brightness adjustment,A
AI & ML,Deep Learning,Hard,What is Mixup augmentation?,Linear interpolation between two training examples,Mixing datasets,Rotating images,Flipping images,A
AI & ML,Deep Learning,Hard,What is knowledge distillation?,Training smaller student using larger teacher's outputs,Compressing datasets,Feature reduction,Model pruning,A
AI & ML,Deep Learning,Hard,Model pruning:,Removing less important weights to compress model,Selecting features,Removing outliers,Reducing dataset,A
AI & ML,Deep Learning,Hard,Model quantization:,Reducing weight precision (float32 → int8) for efficiency,Compressing images,Reducing dataset,Pruning neurons,A
AI & ML,Deep Learning,Hard,What is a 1×1 convolution?,Convolves across channels; used for channel reduction,Spatial feature extraction,Upsampling,Padding,A
AI & ML,Deep Learning,Hard,Global Average Pooling (GAP):,Averages entire feature map to one value per channel,Standard pooling,Max pooling variant,Adaptive pooling,A
AI & ML,Deep Learning,Hard,What is the receptive field in CNNs?,Region in input space that influences a particular output neuron,Filter size only,Stride only,Padding only,A
AI & ML,Deep Learning,Hard,What is a hypercolumn in CNNs?,Concatenation of feature maps at different layers for a pixel,Single layer feature,Pooled feature,Flattened feature,A
AI & ML,Deep Learning,Hard,What is attention pooling?,Weighted aggregation of feature vectors using attention scores,Max pooling,Average pooling,Global pooling,A
AI & ML,Deep Learning,Hard,What is ViT (Vision Transformer)?,Applies Transformer to image patches directly,CNN variant,Attention-based RNN,Encoder-only model,A
AI & ML,Deep Learning,Easy,What is a prompt in LLMs?,Input text guiding the model's response generation,Model weight,Training batch,Evaluation metric,A
AI & ML,Deep Learning,Hard,What is in-context learning?,LLM learns task from examples in the prompt without fine-tuning,Fine-tuning,Pre-training,Transfer learning,A
AI & ML,Deep Learning,Hard,What is chain-of-thought prompting?,Asking model to show step-by-step reasoning,Asking for direct answer,Using many examples,Training the model,A
AI & ML,Deep Learning,Hard,What is RAG (Retrieval-Augmented Generation)?,Augmenting LLM with retrieved relevant documents at inference,Training with retrieved data,Fine-tuning technique,Prompt engineering,A
AI & ML,Deep Learning,Medium,What is a hallucination in LLMs?,Model generates confident but factually incorrect information,Model refuses to answer,Model crashes,Model is very slow,A
AI & ML,Deep Learning,Hard,EfficientNet scales:,"Width, depth, and resolution uniformly",Only depth,Only width,Only resolution,A
AI & ML,Deep Learning,Hard,What is a Swin Transformer?,Transformer with shifted windows for efficient image processing,Standard Transformer,CNN variant,LSTM variant,A
AI & ML,Deep Learning,Hard,What is CLIP?,Model learning visual-semantic embeddings from image-text pairs,Image classifier only,Text model only,GAN variant,A
AI & ML,Deep Learning,Hard,What is DALL-E?,Diffusion/transformer model generating images from text descriptions,Image classifier,Object detector,Segmentation model,A
AI & ML,Deep Learning,Hard,Diffusion models generate images by:,Iteratively denoising a random noise image,Single forward pass,GAN training,Autoencoder decoding,A
AI & ML,Deep Learning,Hard,What is cross-entropy loss for binary classification?,−[y log(p) + (1−y) log(1−p)],MSE,Hinge loss,Triplet loss,A
AI & ML,Models,Easy,Linear Regression models:,Relationship between input and continuous output as linear function,Classification boundaries,Cluster centroids,Principal components,A
AI & ML,Models,Easy,Logistic Regression is used for:,Classification (binary or multiclass),Regression,Clustering,Dimensionality reduction,A
AI & ML,Models,Medium,Decision Tree splits on:,Feature that maximizes information gain or minimizes Gini impurity,Random feature,Most frequent feature,Least frequent feature,A
AI & ML,Models,Hard,Gini impurity measures:,Probability of misclassification in a node,Tree depth,Entropy difference,Feature correlation,A
AI & ML,Models,Medium,Entropy in decision trees measures:,Disorder/impurity of a node,Tree height,Number of splits,Feature count,A
AI & ML,Models,Hard,Information Gain = ?,Entropy(parent) − weighted average entropy(children),Gini(parent) + Gini(children),Entropy(children) − Entropy(parent),Max entropy of node,A
AI & ML,Models,Easy,Random Forest is:,Ensemble of decision trees trained on bootstrapped samples,Single deep tree,Boosted decision stumps,Bagged linear models,A
AI & ML,Models,Medium,Number of trees in Random Forest:,"Hyperparameter (more = more stable, diminishing returns)",Always 100,Always 10,Equals feature count,A
AI & ML,Models,Medium,Gradient Boosting trains trees:,"Sequentially, each correcting residuals of previous",Parallelly and independently,On full data only,Randomly,A
AI & ML,Models,Hard,AdaBoost weights:,Misclassified samples get higher weights,All samples equally,Correctly classified get higher weights,Random weights,A
AI & ML,Models,Hard,XGBoost improvement over vanilla GBM:,"Regularization, parallel processing, missing value handling",Larger trees only,Random sampling only,No improvement,A
AI & ML,Models,Hard,LightGBM's main advantage:,Faster training via leaf-wise tree growth on large datasets,Always more accurate than XGBoost,Uses less memory always,Works only on classification,A
AI & ML,Models,Hard,CatBoost's specialty:,Native handling of categorical features without preprocessing,Fastest training,Best for regression,Smallest model size,A
AI & ML,Models,Hard,SVM's decision function:,Sign of w·x + b,Probability output,Distance to centroid,Entropy value,A
AI & ML,Models,Hard,Hard margin SVM:,Requires data to be linearly separable with no violations,Allows some violations,Uses kernel trick only,Works on all data,A
AI & ML,Models,Hard,Soft margin SVM:,Allows some misclassification with penalty parameter C,Perfect separation only,No kernel,Only linear kernel,A
AI & ML,Models,Hard,Larger C in SVM:,Less tolerance for misclassification (narrower margin),More tolerance (wider margin),No effect on margin,Increases kernel width,A
AI & ML,Models,Hard,RBF kernel in SVM:,Maps to infinite-dimensional feature space; good for non-linear data,Linear mapping,Polynomial mapping,No mapping,A
AI & ML,Models,Easy,KNN algorithm steps:,"Calculate distances, find K nearest, take majority vote","Train a tree, traverse it","Compute centroids, assign clusters",Compute probabilities,A
AI & ML,Models,Medium,KNN for regression:,Average of K nearest neighbors' values,Majority vote,Maximum value,Minimum value,A
AI & ML,Models,Hard,Naive Bayes types:,"Gaussian, Multinomial, Bernoulli","Linear, Quadratic, Cubic","Hard, Soft, Mixed",None of these variants,A
AI & ML,Models,Hard,Gaussian Naive Bayes assumes:,Features follow Gaussian distribution,Discrete features,Binary features,Uniform distribution,A
AI & ML,Models,Hard,Multinomial Naive Bayes is used for:,Text classification (word counts/frequencies),Continuous features,Image data,Numeric regression,A
AI & ML,Models,Hard,Linear Discriminant Analysis (LDA):,Supervised dimensionality reduction maximizing class separability,Unsupervised DR,Clustering technique,Regression method,A
AI & ML,Models,Hard,Quadratic Discriminant Analysis (QDA) vs LDA:,QDA allows class-specific covariance matrices,QDA is always simpler,LDA uses quadratic boundaries,They are identical,A
AI & ML,Models,Medium,Nearest Centroid classifier:,Assigns class of nearest centroid,Assigns class of nearest neighbor,Builds tree of centroids,Uses centroid as SVM support vector,A
AI & ML,Models,Medium,Perceptron model:,Binary classifier using linear decision boundary + threshold,Multiclass model,Probabilistic model,Tree-based model,A
AI & ML,Models,Easy,Multi-layer Perceptron (MLP):,Fully connected neural network with multiple hidden layers,Single-layer network,Only for regression,Unsupervised model,A
AI & ML,Models,Hard,Linear SVM vs Logistic Regression:,SVM maximizes margin; LR maximizes likelihood,Both maximize margin,LR maximizes margin,They are identical,A
AI & ML,Models,Medium,What is Elastic Net regression?,Combines L1 (Lasso) and L2 (Ridge) penalties,Only L1,Only L2,No regularization,A
AI & ML,Models,Medium,Ridge Regression prevents:,Overfitting by shrinking large coefficients (not to zero),Underfitting,Feature selection,Data leakage,A
AI & ML,Models,Medium,Lasso Regression:,Can set coefficients exactly to zero (feature selection),Never sets to zero,Only L2 penalty,Only for classification,A
AI & ML,Models,Hard,Principal Component Regression (PCR):,Performs regression on PCA components,Standard linear regression,Polynomial regression,Logistic regression,A
AI & ML,Models,Hard,Partial Least Squares (PLS):,Finds components that maximize covariance with both X and Y,PCA + regression without Y,Only uses X,Only uses Y,A
AI & ML,Models,Hard,Gaussian Process regression:,Non-parametric Bayesian model providing predictions with uncertainty,Standard GP model,Neural network variant,Tree-based model,A
AI & ML,Models,Hard,Bayesian Ridge Regression:,Places prior on coefficients; fully Bayesian regularization,Frequentist Ridge,Non-regularized regression,SVM-based regression,A
